conclusion,applicability,externalsources,appno,violation,languageisocode,originatingbody,itemid,importance,judgementdate,docname,ecli,scl,nonviolation,doctype,representedby,separateopinion,respondent,rulesofcourt,issue,referencedate,publishedby,doctypebranch,article,rank,extractedappno
Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Reasonable time);Violation of Article 13+6-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 6 - Right to a fair trial;Criminal proceedings;Article 6-1 - Reasonable time),,,46382/20,6;6-1;13;13+6-1,ENG,25,001-211138,4,22/07/2021 00:00:00,CASE OF SZŐLŐSI v. HUNGARY,ECLI:CE:ECHR:2021:0722JUD004638220,,,HEJUD,KARSAI D.A.,FALSE,HUN,,,,,COMMITTEE,6;6-1;13;13+6-1,4.7934923,46382/20;25444/94;30979/96;35729/12
Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Reasonable time),,,48858/20,6;6-1,ENG,25,001-211139,4,22/07/2021 00:00:00,"CASE OF MUDR. VLADIMÍR GERGEL, S.R.O. v. SLOVAKIA",ECLI:CE:ECHR:2021:0722JUD004885820,,,HEJUD,URBAN O.,FALSE,SVK,,,,,COMMITTEE,6;6-1,4.7934923,48858/20;36813/97;64886/01;50224/99;63959/00;77690/01;30979/96;69484/01
Violation of Article 5 - Right to liberty and security (Article 5-3 - Length of pre-trial detention);Violation of Article 5 - Right to liberty and security (Article 5-5 - Compensation);Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Reasonable time),,,54337/19;29723/20;31263/20,5;5-3;5-5;6;6-1,ENG,29,001-211140,4,08/07/2021 00:00:00,CASE OF YEGOROV AND OTHERS v. UKRAINE,ECLI:CE:ECHR:2021:0708JUD005433719,,,HEJUD,SUBOTA M. I. ; POLUSHCHENKO D. G. ; FEDOSIN A. V.,FALSE,UKR,,,,,COMMITTEE,5;5-3;5-5;6;6-1,4.7934923,54337/19;30210/96;543/03;40107/02;40583/15;66561/01;49872/11;28718/09;29723/20;31263/20
Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Reasonable time);Violation of Article 13+6-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 6 - Right to a fair trial;Criminal proceedings;Article 6-1 - Reasonable time),,,23635/20;45408/20,6;6-1;13;13+6-1,ENG,29,001-211141,4,08/07/2021 00:00:00,CASE OF TROFYMENKO AND MAKHMUTOV v. UKRAINE,ECLI:CE:ECHR:2021:0708JUD002363520,,,HEJUD,SULYMA V. V.,FALSE,UKR,,,,,COMMITTEE,6;6-1;13;13+6-1,4.7934923,23635/20;45408/20;25444/94;30979/96;66561/01;7307/05
Struck out of the list,,,27590/16;25383/19,,ENG,28,001-211151,4,,NISTOR AND RĂCȘAN v. ROMANIA,ECLI:CE:ECHR:2021:0617DEC002759016,,,HEDEC,,,ROU,,,,,ADMISSIBILITYCOM,3;39,4.7934923,27590/16;25383/19
Struck out of the list,,,41931/16;42083/16;45758/16;45936/16;46109/16;46267/16;46529/16;46584/16;47335/16;47427/16;47522/16;48870/16;54636/16;73167/16;10107/17;12378/17,,ENG,28,001-211152,4,,CIOBANU AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0617DEC004193116,,,HEDEC,GHIRIBEAJĂ F. ; GALAN D.,,ROU,,,,,ADMISSIBILITYCOM,3;37;37-1,4.7934923,41931/16;42083/16;45758/16;45936/16;46109/16;46267/16;46529/16;46584/16;47335/16;47427/16;47522/16;48870/16;54636/16;73167/16;10107/17;12378/17
Struck out of the list,,,54551/16;76331/16;8618/17;14994/17;16073/17;30183/17;30218/17;12476/18,,ENG,29,001-211153,4,,TRAJKOV AND OTHERS v. NORTH MACEDONIA,ECLI:CE:ECHR:2021:0617DEC005455116,,,HEDEC,CHAKAROVSKA-GROZDANOVSKA D. ; ZHIVKOVSKI M.,,MKD,,,,,ADMISSIBILITYCOM,39;P1-1,4.7934923,54551/16;76331/16;8618/17;14994/17;16073/17;30183/17;30218/17;12476/18
Struck out of the list,,,19137/18;20189/18;30425/18,,ENG,29,001-211155,4,,ASANOVSKI AND OTHERS v. NORTH MACEDONIA,ECLI:CE:ECHR:2021:0617DEC001913718,,,HEDEC,EUROPEAN ROMA RIGHTS CENTRE ; B. GJUROVSKI ; Z. HADJI-ZAFIROV,,MKD,,,,,ADMISSIBILITYCOM,14;14+P4-2;39;P4-2;P12-1,4.7934923,19137/18;20189/18;30425/18
Partly struck out of the list;Partly inadmissible,,,9659/18;28858/18,,ENG,27,001-211157,4,,GIMBATOV v. RUSSIA,ECLI:CE:ECHR:2021:0617DEC000965918,,,HEDEC,PANFILOV D. V.,,RUS,,,,,ADMISSIBILITYCOM,5;5-3;5-4;35;37;37-1,4.7934923,9659/18;28858/18;26307/95;5826/03;18369/07;55844/12
Struck out of the list,,,30829/16,,ENG,28,001-211158,4,,STANCU v. ROMANIA,ECLI:CE:ECHR:2021:0617DEC003082916,,,HEDEC,,,ROU,,,,,ADMISSIBILITYCOM,3;37;37-1,4.7934923,30829/16
Struck out of the list,,,26857/19,,ENG,28,001-211160,4,,AHMED v. THE UNITED KINGDOM,ECLI:CE:ECHR:2021:0617DEC002685719,,,HEDEC,LESTER R.,,GBR,,,,,ADMISSIBILITYCOM,6;39,4.7934923,26857/19
Struck out of the list,,,54475/19,,ENG,28,001-211161,4,,SLAVNIĆ v. BOSNIA AND HERZEGOVINA,ECLI:CE:ECHR:2021:0617DEC005447519,,,HEDEC,DAKIC I.,,BIH,,,,,ADMISSIBILITYCOM,6;6-1;37;37-1,4.7934923,54475/19;26307/95;36813/97;68811/13;18369/07
Inadmissible,,,34941/15;37800/15;48874/15;57052/16,,ENG,28,001-211162,4,,PARASCA AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0617DEC003494115,,,HEDEC,CHIRITA R. L.,,ROU,,,,,ADMISSIBILITYCOM,3;35,4.7934923,34941/15;48874/15;14224/15;50977/15;61467/12;37800/15;57052/16
Struck out of the list,,,167/16;19024/16;77288/16;12284/17,,ENG,28,001-211164,4,,FURDUI AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0617DEC000016716,,,HEDEC,,,ROU,,,,,ADMISSIBILITYCOM,3;39,4.7934923,167/16;19024/16;77288/16;12284/17
Inadmissible,,,1776/09,,ENG,29,001-211166,4,,ORUJOVA v. AZERBAIJAN,ECLI:CE:ECHR:2021:0617DEC000177609,,,HEDEC,ORUJOV A.,,AZE,,,,,ADMISSIBILITYCOM,13;35;P1-1,4.7934923,1776/09;37685/10;22768/12;41661/05;47136/06;59845/14
Inadmissible,,,4306/09,,ENG,29,001-211167,4,,TAHIROV v. AZERBAIJAN,ECLI:CE:ECHR:2021:0617DEC000430609,,,HEDEC,ZULFUGAROV R. ; MAMMADOV F.,,AZE,,,,,ADMISSIBILITYCOM,13;35;P1-1,4.7934923,4306/09;73049/01;39544/05;35635/14;26878/07;32446/07;59845/14
Inadmissible,,,8155/11,,ENG,29,001-211168,4,,KOVAL v. UKRAINE,ECLI:CE:ECHR:2021:0617DEC000815511,,,HEDEC,,,UKR,,,,,ADMISSIBILITYCOM,6;6-1;13;35,4.7934923,8155/11;66561/01
Struck out of the list,,,5372/20,,ENG,29,001-211170,4,,STOYKA v. UKRAINE,ECLI:CE:ECHR:2021:0617DEC000537220,,,HEDEC,SHKORKA I. M.,,UKR,,,,,ADMISSIBILITYCOM,6;6-1;13;37;37-1,4.7934923,5372/20;26307/95;66561/01;18369/07
Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment) (Substantive aspect);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction),,,2599/18,3;P1-1;P1-1-1,ENG,6,001-211175,3,06/07/2021 00:00:00,CASE OF KASILOV v. RUSSIA,ECLI:CE:ECHR:2021:0706JUD000259918,"Beyeler v. Italy [GC], no 33202/96, § 111-112, ECHR 2000 I;De Wilde, Ooms and Versyp v. Belgium, 18 June 1971, p. 76, Series A no 12;Farrakhov v. Russia [Comittee], no 33128/08, § 63, 27 July 2018;Muršić v. Croatia [GC], no 7334/13, 20 October 2016;Naït-Liman v. Switzerland [GC], no 51357/07, § 116, 15 March 2018;Radomilja and Others v. Croatia [GC], nos. 37685/10 and 22768/12, § 126, 20 March 2018;Roth v. Germany, nos. 6780/18 and 30776/18, §§ 70-71, 22 October 2020;Ruslan Yakovenko v. Ukraine, no 5425/11, § 46, ECHR 2015;Stollenwerk v. Germany, no 8844/12, §§ 35 36, 7 September 2017;Sylla and Nollomont v. Belgium, nos. 37768/13 and 36467/14, § 41, 16 May 2017;UBS AG v. France (dec.), no 29778/15, §§ 18-19, 29 November 2016;Van der Ven v. the Netherlands, no 50901/99, §§ 60-61, ECHR 2003 II;Vistiņš and Perepjolkins v. Latvia [GC], no 71243/01, §§ 105-06, 25 October 2012;Wemhof v. Germany, no 2122/64, § 9, 27 June 1968",,HEJUD,KASILOVA N.A. ,FALSE,RUS,,,,,CHAMBER,3;35;35-3-a;41;P1-1;P1-1-1,4.7934923,
Communicated,,,1819/21;3682/21;4957/21;6217/21,,ENG,,001-211176,4,,K.B. v. POLAND and 3 other applications,,,,HECOM,,,POL,,,,,COMMUNICATEDCASES,3;8;8-2,4.7934923,1819/21;13/17;1/20;4907/18;3682/21;4957/21;6217/21;43835/11;26374/18;5410/03
Communicated,,,3801/21;4218/21;5114/21;5390/21,,ENG,,001-211177,4,,A.L. - B. v. POLAND and 3 other applications,,,,HECOM,,,POL,,,,,COMMUNICATEDCASES,3;8;8-2,4.7934923,3801/21;13/17;1/20;4907/18;4218/21;5114/21;5390/21;43835/11;26374/18;5410/03
Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for family life);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction),,"Council of Europe Commissioner for Human Rights, Realising the right to family reunification of refugees in Europe (June 2017);Parliamentary Assembly of the Council of Europe Resolution 2243 (2018) on Family reunification of refugees and migrants in the Council of Europe member States;Treaty on the Functioning of the European Union;Council Directive 2003/86/EC of 22 September 2003 on the right to family reunification;Council Directive 2001/55/EC of 20 July 2001 on minimum standards for giving temporary protection in the event of a mass influx of displaced persons and on measures promoting a balance of efforts between Member States in receiving such persons and bearing the consequences thereof (“the Temporary Protection Directive”);Directive 2011/95/EU of the European Parliament and of the Council of 13 December 2011 on standards for the qualification of third-country nationals or stateless persons as beneficiaries of international protection, for a uniform status for refugees or for persons eligible for subsidiary protection, and for the content of the protection granted (“the recast Qualification Directive);1951 Convention Relating to the Status of Refugees;UN Human Rights Committee sixth period report on Denmark (15 August 2016);UNHCR, Summary Conclusions on the Right to Family Life and Family Unity in the Context of Family Reunification of Refugees and Other Persons In Need Of International Protection (4 December 2017)",6697/18,8;8-1,ENG,8,001-211178,1,09/07/2021 00:00:00,CASE OF M.A. v. DENMARK,ECLI:CE:ECHR:2021:0709JUD000669718,"A, B and C v. Ireland [GC], no. 25579/05, ECHR 2010;Abdulaziz, Cabales and Balkandali v. the United Kingdom, judgment of 28 May 1985, §§ 59-68, Series A no. 94, p. 94;Ahmut v. the Netherlands, no. 21702/93, 28 November 1996;Animal Defenders International v. the United Kingdom [GC], no. 48876/08, § 108, ECHR 2013;Antwi and Others v. Norway, no. 26940/10, 14 February 2012;Baghli v. France, no. 34374/97, ECHR 1999 VIII;Berisha v. Switzerland, no. 948/12, 30 July 2013;Berrehab v. the Netherlands, no. 10730/84, 21 June 1988;Biao v. Denmark [GC], no. 38590/10, 24 May 2016;Bouchelkia v. France, judgment of 29 January 1997, Reports 1997-I;Butt v. Norway, no. 47017/09, §§ 76 and 87, 4 December 2012;Chandra and Others v. the Netherlands no. 53102/99, 13 May 2003;Correia de Matos v. Portugal [GC], no. 56402/12, § 129, 4 April 2018;Cudak v. Lithuania [GC], no. 15869/02, § 82, ECHR 2010;Darren Omoregie and Others v. Norway, no. 265/07, 31 July 2008;Dudgeon v. the United Kingdom (Article 50), 24 February 1983, § 22, Series A no. 59;Ghatet v. Switzerland, no. 56971/10, § 49, 8 November 2016;Gül v. Switzerland, no. 23218/94, 19 February 1996;Hasanbasic v. Switzerland, no. 52166/09, §§ 57-67, 11 June 2013;Haydarie v. the Netherlands (dec.), no. 8876/04, 20 October 2005;Hirsi Jamaa and Others v. Italy [GC], no. 27765/09, § 122, ECHR 2012;Hode and Abdi v. the United Kingdom, no. 22341/09, § 66, 6 November 2012;I.A.A. v. the United Kingdom (dec.), no. 25960/13, 8 March 2016;I.M. v. Switzerland, no. 23887/16, § 72, 9 April 2019;Ilias and Ahmed v. Hungary [GC], no. 47287/15, §§ 155 and 213, 21 November 2019;Jeunesse v. the Netherlands [GC], no. 12738/10, § 107, 3 October 2014;Khlaifia and Others v. Italy, no. 16483/12, 15 December 2016;Konstatinov v. the Netherlands, no. 16351/03, § 50, 26 April 2007;Lekić v. Slovenia [GC], no. 36480/07, § 108, 11 December 2018;Levakovic v. Denmark, no. 7841/14, § 45, 23 October 2018;Mehemi v. France (no. 2), no. 53470/99, § 45, ECHR 2003 IV;Muhammad and Muhammad v. Romania [GC], no. 80982/12, § 122, 15 October 2020;Nacic and Others v. Sweden, no. 16567/10, 15 May 2012;Ndidi v. the United Kingdom, no. 41215/14, § 76, 14 September 2017;Nunez v. Norway, no. 55597/09, 28 June 2011;Paposhvili v. Belgium [GC], no. 41738/10, § 221, 13 December 2016;Priya v. Denmark (dec.) no. 13594/03, 6 July 2016;Rodrigues da Silva and Hoogkamer v. the Netherlands, no. 50435/99, ECHR 2006 I;Salem v. Denmark, no. 77036/11, § 81, 1 December 2016;Sen v. the Netherlands, no. 31465/96, § 40, 21 December 2001;Senigo Longue and Others v. France, no. 19113/09, 10 July 2014;Stec and Others v. the United Kingdom (dec.) [GC], nos. 65731/01 and 65900/01, § 48, ECHR 2005 X;Strand Lobben and Others v. Norway [GC], no. 37283/13, 10 September 2019;Tanda Muzinga v. France, no. 2260/10, 10 July 2014;Tuquabo-Tekle and Others v. the Netherlands, no. 60665/00, 1 December 2005",,HEJUD,DAHLAGER C.,TRUE,DNK,,"Sections 7(1)-(3), 9(1)(i)(d) and 9c(1) of the Aliens Act (as amended by Act No. 153 of 18 February 2015, Act No. 102 of 3 February 2016 and Act No. 562 of 29 May 2018) ; Section 63 of the Danish Constitution",,,GRANDCHAMBER,8;8-1;41,4.7934923,6697/18;2017/18;303/01;303/02;2003/86;540/03;5/88;2/92;107/97;2260/10;52701/09;24404/05;30696/09;16483/12;19113/09;12738/10;10730/84;16567/10;47509/13;8319/07;11449/07;886/11;34374/97;16351/03;265/07;26940/10;13594/03;23218/94;21702/93;53102/99;948/12;25960/13;8876/04;52166/09;60665/00;47017/09;50435/99;55597/09;31465/96;56971/10;37283/13;38590/10;65731/01;65900/01;36480/07;48876/08;56402/12;23887/16;7841/14;41215/14;27765/09;47287/15;80982/12;41738/10;53470/99;77036/11;22341/09;25579/05;15869/02;43611/11;59166/12
Communicated,,,3639/21;4188/21;5876/21;6030/21,,ENG,,001-211179,4,,K.C. v. POLAND and 3 other applications,,,,HECOM,,,POL,,,,,COMMUNICATEDCASES,3;8;8-2,4.7934923,3639/21;13/17;1/20;4907/18;4188/21;5876/21;6030/21;43835/11;26374/18;5410/03
Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction),,,58361/12;25592/16;27176/16,8;8-1,ENG,4,001-211180,3,20/07/2021 00:00:00,CASE OF ZOLTÁN VARGA v. SLOVAKIA,ECLI:CE:ECHR:2021:0720JUD005836112,"Ageyevy v. Russia, no. 7075/10, §§ 193-200, 18 April 2013;Akdivar and Others v. Turkey, 16 September 1996, § 66, Reports of Judgments and Decisions 1996 IV;Akhlyustin v. Russia, no. 21200/05, § 25, 7 November 2017;Albayrak v. Turkey, no. 38406/97, § 32, 31 January 2008;Brother Watch and Others v. the United Kingdom [GC], nos. 58170/13 and 2 others, § 359, 25 May 2021;Centrum för rättvisa v. Sweden [GC], no. 35252/08, § 342, 25 May 2021;Hambardzumyan v. Armenia, no. 43478/11, 5 December 2019;Iatridis v. Greece (just satisfaction) [GC], no. 31107/96, §§ 54 and 55, ECHR 2000‑XI;Klass and Others v. Germany, 6 September 1978, § 71, Series A no. 28;Kurić and Others v. Slovenia [GC], no. 26828/06, § 259, ECHR 2012;Kvasnica v. Slovakia, no. 72094/01, 9 June 2009;Leander v. Sweden, 26 March 1987, Series A no. 116;Pastyřík v. the Czech Republic (dec.), no. 47091/09, 31 May 2011;Segerstedt-Wiberg and Others v. Sweden, no. 62332/00, § 76, ECHR 2006 VII",,HEJUD,ŠKUBLA & PARTNERI s.r.o.,FALSE,SVK,17,"Privacy Protection Act (Law no. 166/2003 Coll., as amended) ; State Liability Act (Law no. 514/2003 Coll., as amended) ; Slovak Intelligence Service Act (Law no. 46/1993 Coll., as amended)",,,CHAMBER,8;8-1;8-2;35;35-3-a;41,4.7934923,58361/12;25592/16;27176/16;66/09;163/09;47091/09;26828/06;38406/97;58170/13;7075/10;43478/11;72094/01;62332/00;21200/05;35252/08;27798/95;31107/96
Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction),,,20903/15;20973/15;20980/15;24505/15,6;6-1,ENG,4,001-211235,2,08/07/2021 00:00:00,CASE OF MAESTRI AND OTHERS v. ITALY,ECLI:CE:ECHR:2021:0708JUD002090315,"Bazo González v. Spain, no 30643/04, § 36, 16 December 2008;Botten v. Norway, 19 February 1996, Reports of Judgments and Decisions 1996 I;Cipleu v. Romania, no 36470/08, § 39, 14 January 2014;Constantinescu v. Romania, no 28871/95, ECHR 2000 VIII;Dan v. Moldova, no 8999/07, § 30, 5 July 2011;Dondarini v. San Marino, no 50545/99, § 27, 6 July 2004;Dumitrascu v. Romania, no 29235/14, 15 September 2020;Ekbatani v. Sweden, 26 May 1988, § 32, Series A no 134;Ghincea v. Romania, no 36676/06, 9 January 2018;Hermi v. Italy [GC], no 18114/02, ECHR 2006 XII;Igual Coll v. Spain, no 37496/04, 10 March 2009;Júlíus Þór Sigurþórsson v. Iceland, no 38797/17, 16 July 2019;Kamasinski v. Austria, 19 December 1989, §§ 107-108, Series A no. 168;Kashlev v. Estonia, no 22574/08, 26 April 2016;Keskinen and Veljekset Keskinen Oy v. Finland, no 34721/09, § 39, 5 June 2012;Lacadena Calero v. Spain, no 23002/07, 22 November 2011;Lamatic v. Romania, no 55859/15, 1 December 2020;Lazu v. the Republic of Moldova, no 46182/08, § 40, 5 July 2016;Leș v. Romania (dec.), no 28841/09, §§ 18 22, 13 September 2016;Lorefice v. Italy, no 63446/13, § 36, 29 June 2017;Murtazaliyeva v. Russia [GC], no 36658/05, §§ 117 and 118, 18 December 2018;Öcalan v. Turkey [GC], no 46221/99, § 210, ECHR 2005-IV;Popa and Tănăsescu v. Romania, no 19946/04, § 52, 10 April 2012;Spînu v. Romania, no 32030/02, § 58, 29 April 2008;Taxquet v. Belgium [GC], no 926/05, § 84, ECHR 2010;Teixeira de Castro v. Portugal, 9 June 1998, § 34, Reports 1998‑IV",,HEJUD,SACCUCCI A.,FALSE,ITA,17,,,,CHAMBER,6;6-1;41,4.7934923,
Struck out of the list,,,48218/13,,ENG,25,001-211238,4,,WIEWIÓR v. POLAND,ECLI:CE:ECHR:2021:0617DEC004821813,,,HEDEC,BRYDAK J. ,,POL,,,,,ADMISSIBILITYCOM,5;5-4;37;37-1,4.7934923,48218/13;26307/95;11364/03;28481/03;20071/07;46605/13;18369/07
Struck out of the list,,,63817/19;18846/20;33029/20;33036/20;33722/20;33934/20;41306/20;42479/20;45085/20;53617/20,,ENG,25,001-211239,4,,BATKI AND OTHERS v. HUNGARY,ECLI:CE:ECHR:2021:0617DEC006381719,,,HEDEC,KODELA V. ; TAMÁS I. ; PIVARNYIKNÉ J.E. ; NEIZER N. ; KARSAI D.A. ; KISS D.B.,,HUN,,,,,ADMISSIBILITYCOM,6;6-1;13;39,4.7934923,63817/19;18846/20;33029/20;33036/20;33722/20;33934/20;41306/20;42479/20;45085/20;53617/20
Struck out of the list,,,35711/20;39946/20;40047/20;42880/20;43372/20;44935/20;44997/20;45832/20;48658/20;52356/20,,ENG,25,001-211240,4,,PUSKÁS AND OTHERS v. HUNGARY,ECLI:CE:ECHR:2021:0617DEC003571120,,,HEDEC,MÁTYÁS B. ; GERENCSÉR É. ; KARSAI D.A.,,HUN,,,,,ADMISSIBILITYCOM,6;6-1;13;39,4.7934923,35711/20;39946/20;40047/20;42880/20;43372/20;44935/20;44997/20;45832/20;48658/20;52356/20
Partly struck out of the list;Partly inadmissible,,,35034/10,,ENG,26,001-211243,4,,ALTUN v. TURKEY,ECLI:CE:ECHR:2021:0617DEC003503410,,,HEDEC,KORKMAZ M. ,,TUR,,,,,ADMISSIBILITYCOM,6;6-1;35;39;P1-1,4.7934923,35034/10;22677/10
Struck out of the list,,,35951/14,,ENG,26,001-211245,4,,KOVAČEVIĆ v. SERBIA,ECLI:CE:ECHR:2021:0617DEC003595114,,,HEDEC,NEŠKOVIĆ M. ,,SRB,,,,,ADMISSIBILITYCOM,8;13;37;37-1,4.7934923,35951/14
Struck out of the list,,,62335/17,,ENG,26,001-211246,4,,VUČIĆEVIĆ v. SERBIA,ECLI:CE:ECHR:2021:0617DEC006233517,,,HEDEC,JANKOVIĆ D. ,,SRB,,,,,ADMISSIBILITYCOM,6;6-1;37;37-1;P1-1,4.7934923,62335/17
Struck out of the list,,,29625/18,,ENG,26,001-211247,4,,NOVKOVIĆ v. SERBIA,ECLI:CE:ECHR:2021:0617DEC002962518,,,HEDEC,STOJILJKOVIĆ T. ,,SRB,,,,,ADMISSIBILITYCOM,6;6-1;39;P1-1,4.7934923,29625/18
Struck out of the list,,,3446/10;26757/10;26767/10,,ENG,26,001-211248,4,,KOLU AND OTHERS v. TURKEY,ECLI:CE:ECHR:2021:0617DEC000344610,,,HEDEC,ÇAKAN A. ; ERKEN M.M.,,TUR,,,,,ADMISSIBILITYCOM,6;6-1;39;P1-1,4.7934923,3446/10;26757/10;26767/10
Partly struck out of the list;Partly inadmissible,,,22658/10;22671/10;22687/10;69989/10;32021/11,,ENG,26,001-211249,4,,SÖNMEZSOY AND OTHERS v. TURKEY,ECLI:CE:ECHR:2021:0617DEC002265810,,,HEDEC,ÇAKAN A. ; ERKEN M.M.,,TUR,,,,,ADMISSIBILITYCOM,6;6-1;35;37;37-1;P1-1,4.7934923,22658/10;32021/11;26307/95;22677/10;18369/07;22671/10;22687/10;69989/10
Struck out of the list,,,22002/12;44932/12,,ENG,26,001-211251,4,,KESKIN AND SABUKTAY v. TURKEY,ECLI:CE:ECHR:2021:0617DEC002200212,,,HEDEC,CENGIZ S.,,TUR,,,,,ADMISSIBILITYCOM,5;5-4;5-5;37;37-1,4.7934923,22002/12;44932/12;26307/95;31610/08;18369/07
Struck out of the list,,,84050/17;9489/18;4592/20;16267/20;28714/20;47360/20,,ENG,26,001-211252,4,,PUDIĆ AND OTHERS v. SERBIA,ECLI:CE:ECHR:2021:0617DEC008405017,,,HEDEC,PUDAR V. ; VUJASINOVIĆ A. ; STAMENIĆ G.,,SRB,,,,,ADMISSIBILITYCOM,6;6-1;39,4.7934923,84050/17;9489/18;4592/20;16267/20;28714/20;47360/20
Struck out of the list,,,68027/10,,ENG,27,001-211253,4,,SOKOLOV v. RUSSIA,ECLI:CE:ECHR:2021:0617DEC006802710,,,HEDEC,N/A,,RUS,,,,,ADMISSIBILITYCOM,3;5;5-3;5-4;8;13;37;37-1,4.7934923,68027/10
Struck out of the list,,,11761/20,,ENG,27,001-211256,4,,J.S. v. ESTONIA,ECLI:CE:ECHR:2021:0617DEC001176120,,,HEDEC,LÕHMUS-EIN K.,,EST,,,,,ADMISSIBILITYCOM,6;8;39,4.7934923,11761/20
Struck out of the list,,,12546/20,,ENG,27,001-211257,4,,OVCHINNIKOV v. RUSSIA,ECLI:CE:ECHR:2021:0617DEC001254620,,,HEDEC,FROLOVA V. ,,RUS,,,,,ADMISSIBILITYCOM,2;3;13;13+2;13+3;14;14+2;14+3;39,4.7934923,12546/20
"Violation of Article 9 - Freedom of thought, conscience and religion (Article 9-1 - Manifest religion or belief)",,,12999/15,9;9-1,ENG,7,001-211259,4,20/07/2021 00:00:00,CASE OF AVANESYAN v. ARMENIA,ECLI:CE:ECHR:2021:0720JUD001299915,,,HEJUD,BRADY HEATH S.H. ; MARGARYAN Y;,TRUE,ARM,,,,,CHAMBER,9;9-1,4.7934923,12999/15;26307/95;13216/05;11275/07;36894/04;3521/07;11138/10;47708/08;20958/14;55721/07;3599/18;52207/99;43370/04;21034/05;16064/90;23459/03;24645/94;28793/02;44774/98;30985/96;37819/03;37821/03;46113/99;75604/11;17247/13;35746/11
Communicated,,,52062/16,,ENG,,001-211263,4,,RRAPAJ v. ALBANIA,,,,HECOM,HALILI A.,,ALB,,,,,COMMUNICATEDCASES,6;6-1,4.7934923,52062/16;5250/07;48778/99;6978/18;8547/18
Communicated,,,37474/20,,ENG,,001-211264,4,,CANI v. ALBANIA,,,,HECOM,HALIMI E.,,ALB,,,,,COMMUNICATEDCASES,6;6-1;8;8-1;13,4.7934923,37474/20;15227/19;26374/18;39343/98;17056/06;20999/04;29908/11
Communicated,,,15480/19,,ENG,,001-211265,4,,MS BET SPORTWETTEN GMBH & CO. KG v. AUSTRIA,,,,HECOM,VON RAUMER S.,,AUT,,,,,COMMUNICATEDCASES,6;6-1;13;14;P1-1,4.7934923,15480/19;50053/16
Communicated,,,24501/19,,ENG,,001-211266,4,,ROMIĆ AND OTHERS v. CROATIA,,,,HECOM,STIVIC D.,,HRV,,,,,COMMUNICATEDCASES,6;6-1;P1-1,4.7934923,24501/19;1920/14
Communicated,,,45648/18,,ENG,,001-211267,4,,SUČEC AND OTHERS v. CROATIA,,,,HECOM,CANKOVIC S.,,HRV,,,,,COMMUNICATEDCASES,6;6-1,4.7934923,45648/18;54916/16
Communicated,,,52609/19,,ENG,,001-211268,4,,BENETA v. CROATIA,,,,HECOM,MOCIC I.,,HRV,,,,,COMMUNICATEDCASES,6;6-1,4.7934923,52609/19;22567/18
Communicated,,,11643/20,,ENG,,001-211280,4,,ISPIRYAN v. LITHUANIA,,,,HECOM,MATULIONYTE E.,,LTU,,,,,COMMUNICATEDCASES,6;6-1;6-2;14,4.7934923,11643/20;43395/09;25424/09;2947/06;231/15;55480/00;59330/00
Communicated,,,43763/20,,ENG,,001-211281,4,,BIGOVIĆ v. MONTENEGRO,,,,HECOM,FRANOVIC B.,,MNE,,,,,COMMUNICATEDCASES,3,4.7934923,43763/20;48343/16
Communicated,,,56310/15,,ENG,,001-211283,4,,K.P. v. POLAND,,,,HECOM,STACH A.,,POL,,,,,COMMUNICATEDCASES,8;8-1;10;10-1;14,4.7934923,56310/15
Communicated,,,11519/20,,ENG,,001-211284,4,,GLUKHIN v. RUSSIA,,,,HECOM,ROSSIUS A. A.,,RUS,,,,,COMMUNICATEDCASES,6;6-1;8;8-1;10;10-1,4.7934923,11519/20;926/08;44647/98;45245/15;30562/04;30566/04;16428/05;25501/07
